	title	link	salary_minimal	salary_maximal	normal_salary	source
213	Senior Python Developer (remote) / Старший python-разработчик (удаленно)	https://orenburg.hh.ru/vacancy/50918672		220000.0	руб.	hh.ru
214	Python TeamLead / Senior Python Developer	https://orenburg.hh.ru/vacancy/51042960		200000.0	руб.	hh.ru
215	Data Scientist	https://orenburg.hh.ru/vacancy/51774132	1000.0	3000.0	USD	hh.ru
216	Python developer (Автографик)	https://orenburg.hh.ru/vacancy/47431643				hh.ru
217	Продуктовый аналитик/Senior product analyst	https://orenburg.hh.ru/vacancy/50453970	200000.0	350000.0	руб.	hh.ru
218	Разработчик автотестов (Golang/Python)	https://orenburg.hh.ru/vacancy/51096887		170000.0	руб.	hh.ru
219	Python разработчик в команду разработки инструментов для анализа данных	https://orenburg.hh.ru/vacancy/49926427				hh.ru
220	Разработчик BI/ Data Engineering	https://orenburg.hh.ru/vacancy/51837366				hh.ru
221	Тестировщик ПО	https://orenburg.hh.ru/vacancy/51724752		100000.0	руб.	hh.ru
222	Senior Python Developer (remote) / Старший python-разработчик (удаленно)	https://orenburg.hh.ru/vacancy/50918687		220000.0	руб.	hh.ru
223	Junior/Middle QA Automation Engineer (Python)	https://orenburg.hh.ru/vacancy/49766819				hh.ru
224	Data Scientist	https://orenburg.hh.ru/vacancy/51774153	1000.0	3000.0	USD	hh.ru
225	Back-end разработчик (Python)	https://orenburg.hh.ru/vacancy/43325863				hh.ru
226	Разработчик Python (Middle+)	https://orenburg.hh.ru/vacancy/51583453	120000.0	180000.0	руб.	hh.ru
227	Senior Machine Learning Developer (Java/Python)	https://orenburg.hh.ru/vacancy/43770378		300000.0	руб.	hh.ru
228	Senior Python Developer (remote) / Старший python-разработчик (удаленно)	https://orenburg.hh.ru/vacancy/50918679		220000.0	руб.	hh.ru
229	Стажер IT (нагрузочное тестирование)	https://orenburg.hh.ru/vacancy/49688380	50000.0	55000.0	руб.	hh.ru
230	Senior Python Developer (remote) / Старший python-разработчик (удаленно)	https://orenburg.hh.ru/vacancy/50918682		220000.0	руб.	hh.ru
231	Python – разработчик	https://orenburg.hh.ru/vacancy/50859243				hh.ru
232	Junior Data-аналитик / Аналитик данных / Data Analyst	https://orenburg.hh.ru/vacancy/50410081				hh.ru
233	Data engineer (Python Hadoop Spark)	https://orenburg.hh.ru/vacancy/51637322				hh.ru
234	Python developer (Middle / Senior)	https://orenburg.hh.ru/vacancy/50674864	200000.0	350000.0	руб.	hh.ru
235	Разработчик (Python/C++)	https://orenburg.hh.ru/vacancy/51724800				hh.ru
236	Data Engineer (Python)	https://orenburg.hh.ru/vacancy/51715758				hh.ru
237	Python-разработчик	https://orenburg.hh.ru/vacancy/51853990				hh.ru
238	Middle Backend/Python	https://orenburg.hh.ru/vacancy/51696362				hh.ru
